driverId,week,hours-logged,miles-logged
21,4,78,1800
78,32,53,2700
55,21,70,500
33,41,57,3400
70,26,78,3200
48,13,77,1100
30,37,64,3300
62,17,51,2900
27,44,69,2000
73,51,57,1600
69,51,75,900
34,10,69,2500
39,45,53,600
50,43,64,2400
26,5,57,3200
23,38,68,2100
108,43,74,400
23,11,53,2700
95,20,63,3200
32,21,57,800
52,2,62,3700
27,20,78,3700
100,18,56,0
64,22,80,2000
27,30,68,200
91,25,56,1900
90,51,78,3200
60,44,64,900
29,25,74,2800
68,47,73,800
91,51,66,800
19,13,73,1000
64,47,72,200
59,30,65,3700
57,29,66,3900
39,18,57,1000
51,11,64,2900
42,12,76,200
10,18,70,2800
20,38,68,400
90,13,63,400
70,38,60,800
47,10,50,1500
104,2,50,1200
60,44,75,3500
21,48,80,2600
63,48,58,900
45,38,73,3900
10,27,51,1200
64,31,65,1300
11,6,80,200
48,31,68,3900
100,22,61,1000
28,17,68,2000
17,48,73,1800
34,43,68,400
81,39,57,2400
48,30,68,3900
21,4,59,300
73,26,55,2900
70,46,80,1500
36,2,73,2000
49,50,53,1800
101,52,72,2600
50,28,68,900
24,15,68,2500
64,23,58,1100
72,4,80,3100
18,51,60,1000
81,5,73,2300
21,9,55,3400
77,22,69,900
68,5,79,1900
79,10,52,2800
68,43,77,3000
36,19,53,4000
21,14,71,3100
45,33,77,1500
63,26,58,400
52,29,53,1800
11,43,53,3500
100,9,77,900
91,44,50,1200
41,33,69,3400
71,27,59,300
106,8,70,3200
43,10,55,4000
66,36,67,2100
25,11,54,0
100,39,55,3900
72,45,71,2300
76,43,76,400
25,25,56,3500
90,30,51,2300
49,37,65,1700
104,20,69,1400
98,40,70,1500
105,23,54,1200
34,3,55,1300
10,47,71,1800
11,31,68,900
43,8,75,1800
14,22,74,2800
99,38,61,800
25,6,56,700
85,4,78,500
96,49,57,2100
44,14,73,500
70,1,62,1700
55,26,66,1300
107,39,74,200
60,16,54,600
14,2,61,3400
58,42,75,3200
106,6,68,3500
25,26,58,0
57,25,52,600
50,17,57,2400
35,4,63,300
27,51,65,3800
105,29,68,3000
92,27,64,100
17,35,56,3800
65,7,55,1300
44,52,57,2600
14,42,58,2900
15,47,79,3100
98,2,68,1300
68,50,61,1800
92,5,64,600
91,19,63,2700
29,38,50,3400
56,40,62,4000
103,18,74,100
14,28,51,900
49,21,69,2200
42,38,53,0
99,32,59,2700
81,6,57,2600
96,19,78,0
33,38,54,2800
34,11,54,2400
59,51,70,400
46,29,74,3100
43,52,55,3200
42,26,52,100
24,18,58,3200
49,13,61,3600
65,15,62,700
106,25,64,700
40,47,54,1200
35,39,61,3800
52,46,78,600
88,5,80,200
50,38,54,300
68,17,75,0
71,44,76,2000
60,11,59,2800
34,47,54,1400
50,36,75,3000
46,49,69,2500
60,7,54,0
49,25,60,2500
101,45,65,1800
104,11,67,3700
11,43,70,600
69,41,54,100
109,18,65,700
109,13,60,3900
70,20,71,1900
98,17,77,2000
44,23,69,1500
66,19,64,1400
52,49,64,2100
109,20,54,1300
29,48,55,2600
91,16,76,3700
62,23,68,2900
25,18,78,1000
85,49,61,3500
13,23,64,3900
31,10,77,2500
65,33,52,800
82,11,50,4000
12,10,58,3500
75,8,58,1900
15,41,80,3300
22,12,60,1800
45,14,63,1700
90,29,72,2900
105,47,56,2100
56,14,58,3200
74,17,64,600
23,12,50,3500
44,6,72,1200
106,3,76,1400
103,40,54,300
53,19,64,0
87,7,57,1600
56,23,59,1100
77,6,67,600
106,44,67,1100
13,3,61,3600
75,10,76,3600
94,42,52,3800
90,28,80,3500
79,46,72,200
84,10,64,2600
77,38,70,2000
56,7,62,200
26,47,77,400
38,25,71,2200
101,13,51,700
91,17,56,2100
61,41,78,1300
57,18,56,700
105,3,70,2000
107,34,59,700
15,13,51,1500
102,20,51,2600
86,43,70,2000
101,13,72,3100
25,44,61,1900
64,29,67,1700
25,28,79,1400
47,12,52,200
85,2,75,2300
57,9,60,0
96,29,78,100
28,43,71,200
25,11,63,700
56,45,58,1100
16,6,72,2400
44,38,80,3300
103,50,71,3800
100,49,59,1300
60,52,68,2000
28,5,62,1400
70,25,78,800
98,36,52,300
36,51,57,3600
52,35,79,2200
27,27,61,1300
11,34,58,1300
50,37,76,1400
78,24,69,400
82,16,64,300
84,48,73,3000
19,22,75,3600
34,11,75,3000
57,39,58,1200
81,11,66,1200
91,14,71,700
56,8,63,3100
60,31,76,0
34,14,63,2300
24,21,69,100
16,27,51,100
47,42,73,1800
34,32,75,800
89,50,70,3300
36,13,77,1500
15,16,75,3700
30,11,70,1900
65,3,75,2400
12,2,62,3800
19,15,69,2700
60,47,70,2500
36,40,66,2800
29,25,67,1900
15,30,60,2400
102,45,72,700
14,28,70,500
88,32,57,4000
73,23,68,4000
44,6,52,1100
75,17,55,800
103,7,71,1900
99,10,77,1800
61,41,59,2200
68,46,60,2900
46,23,64,1100
19,30,71,2000
36,42,63,3200
63,38,71,3000
10,13,72,2900
69,43,68,800
73,16,50,1900
68,35,50,1600
97,23,77,2700
83,28,73,200
60,2,75,3600
22,45,54,2800
77,28,65,3400
74,50,59,800
104,4,58,2100
13,1,59,2200
54,43,59,3300
43,35,80,100
39,9,67,1100
82,39,53,3400
27,10,62,1000
98,39,52,900
31,43,74,1700
52,42,71,900
20,43,61,2200
31,25,68,2600
47,40,63,900
70,39,58,1000
62,38,78,3800
79,17,74,600
28,43,71,1000
109,41,64,1500
106,48,63,4000
105,23,59,2400
70,7,75,2400
39,48,70,1000
75,51,60,600
58,39,51,3200
37,45,54,700
20,2,50,2500
68,19,75,500
59,6,67,3400
56,8,77,2700
55,5,58,1900
47,40,59,3800
63,26,67,900
97,32,52,2300
60,15,56,3800
29,16,57,600
104,18,53,1800
92,39,75,0
109,37,67,1700
47,18,74,3800
60,8,74,3500
42,39,78,3500
21,35,56,1700
107,42,79,2600
87,49,60,1000
13,10,50,2600
34,6,53,3000
62,31,67,200
31,5,63,2200
85,48,59,3200
41,4,69,3900
20,29,55,200
81,31,78,1300
78,25,54,100
18,10,52,700
81,41,53,1800
60,5,59,3200
99,44,74,3400
84,32,67,2500
44,3,65,1100
22,17,74,3700
17,18,71,1300
57,5,56,1500
74,8,75,3000
92,30,60,1600
70,1,60,2500
50,12,61,3000
20,6,52,2200
13,7,53,800
19,8,53,2800
98,8,74,3900
69,24,60,3600
39,32,58,3900
105,25,72,3700
69,41,52,1100
34,17,65,100
107,49,66,400
61,12,52,3300
15,38,71,2600
77,35,74,3300
92,19,59,100
43,30,51,400
93,49,80,2600
86,37,59,1900
89,4,63,200
40,37,63,1900
82,43,50,3600
37,9,57,1000
80,3,78,0
45,4,76,3000
105,39,57,3800
29,11,64,2700
97,18,62,1300
89,1,54,2200
62,1,66,2500
68,11,68,0
50,19,76,1800
105,45,69,3200
39,46,63,2900
41,20,77,600
87,27,54,2200
54,5,74,3000
88,34,52,3200
23,14,73,900
31,1,74,2600
14,10,54,3200
85,33,51,2000
100,26,55,3100
84,9,77,1300
18,47,68,1600
32,48,73,900
40,19,71,3600
45,30,59,3900
31,19,53,2800
63,37,69,1700
64,31,69,1100
65,12,67,600
21,31,66,2800
79,34,78,2400
51,50,69,3800
49,51,64,200
97,50,68,1300
106,39,52,1200
91,21,58,100
31,16,79,1700
77,16,56,3600
38,36,59,3100
108,35,78,2100
48,24,76,2800
107,28,57,500
65,15,72,0
97,4,80,500
18,49,60,500
22,52,76,500
63,3,76,2100
58,25,51,1200
19,51,70,3700
98,33,62,2100
44,21,58,1000
23,51,64,1600
42,45,72,600
69,31,74,200
53,23,51,1900
19,17,50,1700
89,23,78,1000
48,3,59,1600
103,3,67,2200
55,15,57,1900
47,43,62,300
106,8,68,1200
108,21,67,3800
33,14,65,1900
61,45,60,700
36,31,65,1900
59,48,78,3300
49,5,76,1200
58,44,73,2300
13,44,53,2700
76,9,60,4000
28,11,59,1200
33,17,68,3300
59,16,54,1700
68,42,58,3300
40,5,70,1200
79,36,61,2300
35,6,80,1500
35,49,71,3600
21,52,75,400
67,41,53,700
92,6,67,2000
46,20,79,3400
99,4,67,3700
23,11,54,2700
37,47,59,2800
44,8,64,3800
55,49,76,0
12,2,71,1000
70,37,55,1100
55,15,50,100
17,2,61,3900
103,5,71,2500
82,4,77,700
17,37,75,3500
77,36,65,3000
19,25,58,2700
85,27,80,1800
52,6,73,2000
49,41,61,2100
48,52,61,1800
107,27,76,3500
14,15,75,2400
77,41,52,2200
40,39,67,3400
81,35,80,2100
55,10,68,700
63,28,80,2300
55,5,62,1600
93,17,56,1400
57,40,71,700
30,9,67,800
93,16,58,100
49,42,61,2500
22,28,56,900
19,23,70,2600
80,22,68,3500
104,49,76,2500
89,12,79,2700
57,26,58,3700
80,45,69,3900
16,16,79,400
41,21,61,2700
52,21,61,2300
87,33,79,1400
52,3,72,1900
92,8,73,3000
104,15,74,900
92,25,65,3400
62,7,80,1100
76,35,57,3000
87,24,73,3100
72,20,80,3700
36,4,59,600
17,27,53,300
28,47,54,3900
70,36,52,2100
65,45,63,200
54,20,50,700
19,23,51,2700
107,24,52,1500
46,9,56,3100
78,11,75,500
37,33,56,2000
69,10,54,900
17,27,68,1600
28,2,69,3600
42,42,60,3300
61,50,53,3100
48,28,54,600
11,2,53,2300
26,35,52,3500
69,39,78,300
12,9,55,100
63,19,56,1600
74,44,78,2700
83,35,54,2400
68,36,60,3500
107,42,70,800
44,39,77,3800
100,9,76,1300
48,13,50,600
40,32,51,3100
49,17,51,3500
42,44,73,2300
53,5,54,3300
103,25,73,1400
34,16,69,800
52,12,65,3200
109,35,57,1800
107,16,66,800
72,52,52,3700
12,3,55,3400
35,7,60,1600
16,15,60,300
91,22,56,100
16,26,52,1400
21,34,59,0
70,30,58,2600
21,35,63,1700
23,14,70,1600
45,22,62,2900
76,44,51,2300
86,50,74,700
108,46,56,2100
96,43,69,500
92,23,53,2100
38,46,67,2600
48,37,58,3700
48,1,75,3500
14,2,74,3900
60,34,59,700
42,20,69,2900
100,16,71,500
17,23,59,400
92,8,55,4000
85,49,67,1600
15,6,72,3300
49,20,63,3500
46,43,56,3400
79,2,64,3900
76,40,72,1000
38,39,58,1400
60,28,62,2100
74,19,54,1900
87,8,70,1000
85,30,63,1900
28,42,68,3000
35,52,55,2900
51,35,73,1800
75,17,75,100
49,4,79,1900
80,21,63,0
24,22,78,1500
109,2,54,100
31,29,53,1900
80,24,61,700
21,41,55,1000
45,23,51,2900
57,9,68,2400
71,50,56,1900
71,36,70,300
12,17,65,1200
31,15,54,900
55,4,61,3900
55,49,56,1700
44,36,77,1300
18,9,55,1500
68,31,67,3800
20,14,58,1800
